name,ndex,category,bio,type1,type2,predicted_type1,predicted_type2,match_score,binary_match_score,raw_output,input_tokens,output_tokens,total_tokens
Timburr,532,Muscular,"[NAME] is a gray bipedal Pokemon with a dark purple nose and dark-gray oval-shaped eyes. It has bulbous protrusions extending from the front and lower parts of its head. Pink, vein-like bulges are present on the back of its head. Similar pink bands adorn its shoulders and thighs. 

It always carries squared logs and uses them to fight with. When it can easily lift a block of timber nearly three times its own weight, it is close to evolving. [NAME] is usually found near construction sites, helping construction workers. It loves helping in construction so much that if rain causes work to cease, it will throw a tantrum while swinging its log.",Fighting,,Fighting,,1.0,0,"[""Fighting""]",404,138,542
Panpour,515,Spray,"[NAME] is a simian, blue-and-cream Pokemon. It has oval eyes that are usually seen closed, large ears with light blue insides, and a tiny, black nose. There is a puffy, wave-like crest on top of its head. Nutrient-rich water is stored in this crest. It also possesses a blue, frilled-like feature on its neck and upper shoulders. Its muzzle, lower body, and skinny forelimbs are cream-colored, and its hands seem to have no fingers, aside from a thumb. Its small feet both have three toes each. Its long tail has a clover-shaped tip.

[NAME] can keep itself damp or water plants by spraying water from its tail. It is mostly found near water sources.",Water,,Water,,1.0,0,"[""Water""]",420,73,493
Shelmet,616,Snail,"[NAME] is a bivalve or snail-like Pokemon. Its gray shell resembles a knight's visor, with a coiling spiral of its shell further back. The shell has protrusions on the underside, which it apparently uses as legs. Its inner body is pink with a long, puckered mouth and green markings below its eyes.

It closes the lid on its helmet-like shell as a defensive tactic and can spit a poisonous, sticky fluid. However, this strategy doesn't work against its rival and natural predator Karrablast who can open [NAME]'s shell. It can evolve around the same time as its rival through electrical-like energy. It thrives in moist habitats like bogs and swamps.",Bug,,Bug,,1.0,0,"[""Bug""]",408,201,609
Simipour,516,Geyser,"[NAME] is a simian Pokemon that is primarily blue. Its ears are broad with light blue insides, and it has oval eyes and a small black nose. There are several tufts of fur on its head, which resemble dreadlocks. These tufts can store water, which it collects with its tail. [NAME] has a white marking around its neck that resembles a ruff; and a cream-colored face, hands, arms, legs, and feet. Its hands have five fingers, and its feet have three toes. Its tail is tipped with a blue plume, resembling a spout of water. 

[NAME]'s tail can shoot water at such high pressure that it can destroy a concrete wall. It prefers to live near clean water.",Water,,Water,,1.0,0,"[""Water""]",419,73,492
Capsakid,951,Spicy Pepper,"[NAME] is a short, green, bipedal plant Pokemon with no arms and a very short, stubby tail. It has a four-leaved dark green collar on its neck. Its head has a white, round cap radially split into six at the rim. This cap resembles an egg shell or the calyx found on fruits, and has a small, bulbous green top. Its face has black eyes and an orange coloration on the tip of its beak-like mouth, which also contains a single front tooth on the upper jaw. [NAME]'s front tooth falls out naturally, and is used as a spice in traditional Paldean cooking. [NAME] creates spicy chemicals inside its body by using energy from sunlight, which it uses to power its moves.",Grass,,,,0.0,0,,423,512,935
Kabuto,140,Shellfish,"[NAME] is a small arthropod Pokemon resembling a horseshoe crab. It is mostly flat with a protective, brown shell covering its body. There are two small, black eyes on top of its shell, which it uses for sight when it hides on the ocean floor. Underneath the shell is a black space that hides the structure of its main body. Only its four short, yellow legs and a second pair of luminescent red eyes are visible on its underside. In its original time, [NAME] was prominently found on beaches, likely aided by its fast and powerful swimming ability. While it is commonly believed to be extinct, isolated populations of [NAME] have been unchanged for 300 million years.",Rock,Water,Rock,Water,1.0,1,"[""Rock"",""Water""]",410,75,485
Seedot,273,Acorn,"[NAME] is a small, brown plant Pokemon that resembles an acorn. A beige, mask-like pattern covers its large black eyes, and it has two beige feet. It has a gray ""cap"" with a short stem on top of its head. The stem is used to hang from tree branches in its forest home. While hanging, this Pokemon absorbs moisture and nutrients from the tree until it becomes too heavy and falls to the ground. The more it drinks, the glossier its body becomes. Additionally, [NAME] polishes itself with leaves once daily. If it remains still, it can be mistaken for a nut and startles others by moving suddenly. It also uses this strategy to be taken by bird Pokemon to expand on its habitat.",Grass,,Grass,,1.0,0,"[""Grass""]",417,9,426
Spritzee,682,Perfume,"[NAME] is a pink, avian Pokemon. It has a rounded body and a pale blue-gray face. Most of its facial area is taken up by its curved beak, which somewhat resembles a plague doctor's mask. It has large red-orange eyes with long black lashes. On top of its head is a curly tuft of feathers or fur. It has small wings and purple feet with no visible digits. 

[NAME] emits a scent that varies based on its diet and enraptures those around it using a scent pouch. In the past, royal ladies carried [NAME] with them instead of using perfume.

Prior to Generation VIII, [NAME] and its evolved form, Aromatisse, were the only known Pokemon that could have Aroma Veil as an Ability.",Fairy,,Fairy,,1.0,0,"[""Fairy""]",423,10,433
Litwick,607,Candle,"[NAME] is a small, candle-like Pokemon with a purple flame atop its head, which is powered by life energy that it absorbs. Its body and two stubby arms are made primarily out of white wax. The folded, melted wax lays over its right eye and leaves only the bright yellow left eye visible. It has a small smile under a protruding upper lip. 

[NAME] pretends to guide people and Pokemon around by illuminating darkened areas. However, it is sucking away their life energy and leading them to the Ghost World. In the BW episode ''Scare at the [NAME] Mansion!'', the flame is shown to grow as it continually absorbs life energy and interferes with electronic devices such as Pokedexes.",Ghost,Fire,Ghost,Fire,1.0,1,"[""Ghost"",""Fire""]",415,11,426
Wugtrio,961,Garden Eel,"[NAME] is a long, red, three-bodied fish Pokemon that lives in a black spiky rock. Each body has a head with beady dark blue eyes and a large, round, white nose. Only [NAME]'s heads and parts of its bodies are seen; it is unknown what the rest of its body looks like inside of the rock.

[NAME] makes its habitat on coastlines and hides within its rock when spotted by humans. It is considered a particularly aggressive Pokemon species, wrapping its three bodies around prey and dragging them down to its lair. It was originally thought to be a regional form of Dugtrio, but this has since been disproven.

[NAME] is the only known Pokemon capable of learning the move Triple Dive.",Water,,,,0.0,0,,419,512,931
Camerupt,323,Eruption,"[NAME] is a quadrupedal Pokemon that resembles a Bactrian camel. It has two gray volcanoes on its back, which are bigger on a female's back than those on a male. It also has a stout body with red shaggy fur and three blue ring-shaped markings on both sides. It has bangs on top of its head, droopy ears, and a tan fur-less muzzle.

Its body contains amounts of molten lava of 18,000&nbsp;°F (10,000&nbsp;°C), which [NAME] voluntarily erupts out of its humps if it is angered. Otherwise, its humps erupt automatically every ten years. As shown in the AG episode ''Candid [NAME]!'', it can become uncontrollably angry when it is struck in the face. It lives in the craters of volcanoes.",Fire,Ground,Fire,Ground,1.0,1,"[""Fire"",""Ground""]",441,11,452
Voltorb,100,{{tt|Ball|Voltorb}},"[NAME] is a spherical Pokemon that resembles a buttonless Poke Ball with eyes. The top half is red, while the bottom half is white. Because of its resemblance to Poke Balls, it is thought that it was created when one was exposed to an energy pulse. This is supported by the fact that its components do not occur naturally.

[NAME] is generally found in power plants and other areas with electric fields where it feeds. It was first discovered in the plant where modern Poke Balls were invented. It has a volatile temperament and will explode if agitated or bumped by the slightest contact. Due to being constantly mistaken as a Poke Ball, [NAME] has reportedly zapped many humans as a result.",Electric,,Electric,,1.0,0,"[""Electric""]",412,73,485
Tirtouga,564,Prototurtle,"[NAME] is a reptilian Pokemon resembling a baby leatherback sea turtle. Its body is blue with black spots on the edges of its flippers. Its black shell has six circular indentations in it. Its upper beak and parts of its face are black, and together resemble a mask. It has a light blue patch underneath its eyes.

[NAME]'s shell is very tough, and it can dive down to depths of as much as 1,000 meters. [NAME] was known to actively hunt for prey to the extent that it would go on land to reach them. [NAME] lived in the ancient oceans from about 100 million years ago. It now exists in the present thanks to being revived from fossils. [NAME] is believed to be the ancestor of most turtle Pokemon.",Water,Rock,Water,Rock,1.0,1,"[""Water"", ""Rock""]",428,140,568
Tranquill,520,Wild Pigeon,"[NAME] is a gray avian Pokemon with lighter gray and black markings. Its beak and eyes are yellow, and there is a dark pink marking above its beak that curves over the eyes. It has a black tuft of two feathers on its head and a petal-like arrangement of feathers on the nape of its neck. There is a black stripe on each of its light gray, black-tipped wings. Each of its pink feet has black talons. It possesses a long tail feather that is tipped in black.

[NAME] has an acute memory, and no matter how far it travels, it is always able to return to its Trainer and nest. It is said to live in deep forests, where there is a peaceful place without war. It is often used as partners for delivery workers.",Normal,Flying,Normal,Flying,1.0,1,"[""Normal"", ""Flying""]",429,140,569
Woobat,527,Bat,"[NAME] is a blue, spherical Pokemon, resembling a Honduran White Bat. It is covered in shaggy fur and has a large, piggish nose with a heart-shaped nostril. Two tufts of shaggy fur hide its eyes, and its mouth has a single fang in the center of its upper jaw. There are two relatively small, black wings on either side of its body.

[NAME]'s nose serves various purposes: It uses ultrasonic waves from its nostrils for echolocation, and it can also be used to grip walls as [NAME] sleeps, which leaves heart-shaped marks on the walls of caves. A [NAME]'s heart-shaped mark is said to give good fortune to whoever it leaves its mark on. [NAME] preys on bug Pokemon and is known to live in caves and dark forests.",Psychic,Flying,Poison,Flying,0.5,0,"[""Poison"", ""Flying""]",436,141,577
Bayleef,153,Leaf,"[NAME] is a quadrupedal, pale-yellow reptilian Pokemon that resembles a sauropod dinosaur. It has a long neck, red eyes, a short, rounded snout, and a stubby tail. Each foot has a single, light gray nail. Sprouting from its forehead is a green leaf that curves back over its head and around its neck are a series of tightly curled leaves. Inside the leaves are small tree shoots. 

The aroma wafting from the leaves around its neck has a spicy scent and has various beneficial effects on those who inhale it. The fragrance has a combination of energizing, stimulating, and healing effects. [NAME] can be rarely found in grasslands. As mentioned in Sleep, any Pokemon sleeping near [NAME] will feel invigorated.",Grass,,Grass,,1.0,0,"[""Grass""]",425,73,498
Budew,406,Bud,"[NAME] is a bipedal, rosebud-like Pokemon. It is one of the shortest Grass Pokemon. Its face is yellow with small, slit-like eyes. It appears to be wearing a green bib and has triangular, stubby yellow feet. When the two vines that are on top of its head open up, a big spot can be seen on each. One vine has a blue spot, while the other has a red spot.

[NAME] keeps its buds closed during the cold winter, but opens them again in the spring and releases poisonous pollen. The pollen it scatters induces harsh sneezing and runny noses, and is more toxic depending on how clean the water it was fed with was. [NAME]'s bud beginning to open is seen as the imminent arrival of spring. It lives near clean pools and ponds.",Grass,Poison,Grass,Poison,1.0,1,"[""Grass"",""Poison""]",434,76,510
Surskit,283,Pond Skater,"[NAME] is a blue insectoid Pokemon. There are semicircular pink markings under its dark, circular eyes. It has a round body with four long, skinny legs extending from it. On top of its head is a yellow cap with a single antenna that secretes a thick, sugary syrup or a sweet scent. The syrup is exuded as a defense mechanism, while the scent can attract prey. This Pokemon can also secrete oil from the tips of its feet, which enables it to walk on water as though skating. 

[NAME] inhabits ponds, rivers, and similar wetlands, where it feeds on microscopic, aquatic organisms. It's also known to appear in puddles after rainstorms. In its natural habitat, [NAME] has been known to compete with Dewpider over food.",Bug,Water,Bug,Water,1.0,1,"[""Bug"", ""Water""]",427,76,503
Foongus,590,Mushroom,"[NAME] is a white, mushroom-like Pokemon with a cap that looks quite similar to a Poke Ball. It has stubby, digit-less arms, a tiny mouth with large pink lips, and pinprick-like dark eyes. A theory suggests that the developer of modern Poke Balls actually modeled it after [NAME]'s cap due to liking the Pokemon, although this is supposition. 

[NAME] uses its Poke Ball-like pattern to lure people and Pokemon in grassy areas, before releasing a cloud of poisonous spores to defend itself. The spores can be used as a stomach medicine if thoroughly dried. [NAME] moves by either hopping or turning on its side and rolling on its cap. It is one of the shortest Grass Pokemon. It prefers damp places, such as around trees.",Grass,Poison,Grass,Poison,1.0,1,"[""Grass"", ""Poison""]",427,77,504
Bunnelby,659,Digging,"[NAME] is a small, gray, rabbit-like Pokemon. The tips of its large ears are dark brown and have three finger-like sections each. It has black eyes, a small pink nose, prominent round cheeks, two tiny whiskers on each cheek, and large upper incisors. Its neck is surrounded by a ruff of stiff, brown fur. There are small brown spots on its hind legs and it has brown toes. It also has a fluffy gray tail. 

[NAME]'s hand-like ears are strong enough to shovel dirt and chop tree roots. It can dig a nest up to 33 feet in just one night. [NAME] is very sensitive when it comes to danger. Corviknight is a natural predator of [NAME]. Should it hear Corviknight's flapping, it will quickly dig a hole to hide underground.",Normal,,Normal,,1.0,0,"[""Normal""]",438,73,511
Grumpig,326,Manipulate,"[NAME] is a bipedal, pig-like Pokemon. It has large ears, a pink snout, and oval eyes. The lower half of its body is black, while the upper half is purple. There are black markings on its ears and arms, while its hands and feet are purple. Its tail is pink and curly. There appear to be three shining black pearls on its body: two small ones on its head, and a larger but nearly flat pearl on its midsection where the black meets the purple. These pearls are used to amplify its psychic powers, which allow it to control its opponents. The dance it performs while using its powers is very popular. It lives on mountains.

In Generation III, Magic Coat was its signature move, but other Pokemon could still inherit it via breeding.",Psychic,,Psychic,,1.0,0,"[""Psychic""]",427,138,565
Carnivine,455,Bug Catcher,"[NAME] is a green plant-like Pokemon resembling a Venus flytrap. Its circular eyes have small pupils, and it has spiky teeth. Its stem is yellow with green spots, with red and green vines beneath with the appearance of tentacles. It has two arms resembling leaves with three leafy 'fingers' each.

[NAME] is very gluttonous, and is known to have an unruly temper. It is capable of hanging from tree branches using its vines, while its mouth can open to about 180 degrees wide. With its mouth wide open, [NAME] attracts the prey it waits for with sweet-smelling saliva, then chomps down. However, it takes a whole day to eat prey. [NAME]'s diet consists mostly of insects and small bugs. It lives in forests and marshes.",Grass,,Grass,,1.0,0,"[""Grass""]",432,201,633
Silcoon,266,Cocoon,"[NAME] is a cocoon-like Pokemon that uses silk to attach itself to tree branches. It is almost completely covered in white silk with only two small holes. A pair of red eyes can be seen through the holes, but they are partially hidden by a rough fringe of silk. The silk forms a hard cocoon that it can use to repel enemy attacks. Dew and rainwater collect on the silk, which provides [NAME] with nourishment.

[NAME] lives in forests, where it conserves energy by moving as little as possible. This energy, which it had gathered as a Wurmple, serves as fuel for its further Evolution. Due to its cocoon, [NAME] cannot extend its limbs and can only move really slowly. However, its eyes allow it to be on the lookout for danger.",Bug,,Bug,,1.0,0,"[""Bug""]",430,73,503
Escavalier,589,Cavalry,"[NAME] is an insectoid Pokemon with a head sporting the red horsehair crest of a knight's helmet, with a visor underneath it. Its shoulders have large, round metal ridges, from which its thin black arms extend. The arms are tipped with red-striped protrusions resembling jousting lances. Its face and torso are bare of armor, but its lower body is concealed within a swirled gray shell with a red spike on the underside, which was presumably the shell of a Shelmet.

Its tough armor protects its entire body. It flies around at high speed, jabbing foes with its lances. It is brave and will face any challenge even if in trouble. [NAME] is a popular Pokemon in the Galar region, with a famous painting showing it dueling Sirfetch'd.",Bug,Steel,,,0.0,0,,429,512,941
Spewpa,665,Scatterdust,"[NAME] is small, cocoon-like Pokemon mostly hidden by sharp white fur with square particles of red, black, and pale yellow in and around the fur. Poking out of the top of its fur is its large, round head. The head is light gray in the back with a darker gray face. There is a beige dot over each eye and the face is bisected by a thin, black line that ends in a beige triangle at the top of the head. Its eyes are also beige with square, black pupils.

In order to defend itself from predators such as Rufflet, [NAME] will bristle its fur or spray a poisonous black powder. [NAME] is a nomadic Pokemon, travelling across fields and mountains while building up energy for it to evolve. However, it generally inhabits the shadows of thickets.",Bug,,Bug,Poison,0.5,0,"[""Bug"", ""Poison""]",435,141,576
Manectric,310,Discharge,"[NAME] is a canine, quadrupedal Pokemon. Its body is mainly blue with a spiky, yellow mane on its head and yellow tufts of fur on its haunches and around its front feet. Its mane sticks straight up and has three points. It has a jagged upper jaw, red eyes, and holes on either side of its head that seem to be its ears. Each of its paws has three claws. Its blue, spike-like tail is bent at a sharp angle.

[NAME] gathers electricity in its mane and then discharges it. This process creates thunderclouds, which it uses in battle. Since lightning falls in its vicinity, it is said to have been born from lightning and make its nest where lightning has struck. It lives in grasslands and savannas, and rarely appears in front of people.",Electric,,Electric,,1.0,0,"[""Electric""]",437,73,510
Liepard,510,Cruel,"[NAME] is a slender, purple feline Pokemon  speckled with yellow rosettes. Its fur patterning is considered attractive to many Trainers. It has a pink ""mask"" marking over its eyes, a pink nose, and small yellow markings over its green eyes. It has two pairs of long yellow whiskers and a tufted yellow underside. Its lower legs are yellow, and each small paw has a pale pink pad that can be seen in Pokedex 3D Pro. It has a long, curving tail with a sickle-like shape toward the tip.

[NAME] has well-developed muscles that allows it to run silently and strike opponents from behind. It has also been known to vanish and reappear without warning. It is known to be rather moody and vicious. In Galar, it competes with Thievul for territory.",Dark,,Dark,,1.0,0,"[""Dark""]",440,73,513
Sentret,161,Scout,"[NAME] is a small mammalian Pokemon covered in brown fur. It has long, dark brown ears with dark pink interiors, beady black eyes, and a small mouth. While it is capable of standing on its hind legs, it typically moves on all fours. It has a round body with wide arms and two small feet. On its belly is a white ring and there are dark brown stripes around its tail.

[NAME] has a cautious, timid nature and can often be seen standing on its tail to scout its surroundings. It will only sleep if there is another [NAME] keeping watch and will be too frightened to sleep if separated from its pack. When it senses danger, it warns others by screeching and thumping its tail on the ground. [NAME] can most commonly be found in temperate grasslands.",Normal,,Normal,,1.0,0,"[""Normal""]",434,73,507
Hatenna,856,Calm,"[NAME] is a small Pokemon with a round pink body and a pair of small feet. Most of its body is covered by a blue wig-like feature with a pink, hat-like erect tail. This tail is decorated with a white spot and has a blue bulbous growth on its tip. The flaps on the side of its head appear to be able to function like limbs. It is a female-only species with no male counterpart.

The tail protrusion on [NAME]'s head constantly senses and captures other creatures' emotions. As such, [NAME] is a reclusive Pokemon, preferring to live in uninhabited areas. It tends to run away as fast as possible when it senses strong emotions, as exposure to it for too long will make [NAME] tired. It never warms up to anyone that does not have a calm disposition.",Psychic,,Psychic,,1.0,0,"[""Psychic""]",439,138,577
Bramblin,946,Tumbleweed,"[NAME] is a Pokemon that resembles a tumbleweed. It has small, rhombic, black, leaf-like eyes with thin red pupils that float inside its body, which itself comprises brownish yellow, jagged, thorny plant stalks that point up and curl slightly inward to form a spherical shape. The eyes don't blink and instead flip and rotate to express [NAME]'s emotions. The stalks are held together by what appears to be the remnants of roots on the underside of its body.

[NAME] are created when wandering souls unable to move on get tangled and fused to dried grass. [NAME]'s main form of locomotion is the wind, which blows it uncontrollably to destinations unknown. [NAME] despises getting wet. It makes its habitat in dry, rocky regions such as deserts.",Grass,Ghost,Ghost,Grass,0.5,0,"[""Ghost"", ""Grass""]",432,76,508
